lineup_id,site,game_date,contest_type,p1_id,p2_id,p3_id,p4_id,p5_id,p6_id,p7_id,p8_id,p1_name,p2_name,p3_name,p4_name,p5_name,p6_name,p7_name,p8_name,mean_fpts,total_salary
1,dk,2025-11-21,classic,1642847,1642273,1631170,1630596,1642852,1629614,1629631,1631097,Jeremiah Fears,Kyshawn George,Jaime Jaquez Jr.,Evan Mobley,Derik Queen,Andrew Nembhard,De'Andre Hunter,Bennedict Mathurin,358.75,50000
2,dk,2025-11-21,classic,1629614,1631097,1631170,1630596,1627751,1642273,1642852,1642847,Andrew Nembhard,Bennedict Mathurin,Jaime Jaquez Jr.,Evan Mobley,Jakob Poeltl,Kyshawn George,Derik Queen,Jeremiah Fears,358.32,49700
3,dk,2025-11-21,classic,1629614,1631097,1631170,1630596,203497,1630200,1642852,1642847,Andrew Nembhard,Bennedict Mathurin,Jaime Jaquez Jr.,Evan Mobley,Rudy Gobert,Tre Jones,Derik Queen,Jeremiah Fears,356.59,49900
4,dk,2025-11-21,classic,1642847,1642273,1631170,1630230,1642852,1629614,1630596,1631097,Jeremiah Fears,Kyshawn George,Jaime Jaquez Jr.,Naji Marshall,Derik Queen,Andrew Nembhard,Evan Mobley,Bennedict Mathurin,356.1,49600
5,dk,2025-11-21,classic,1629614,1631097,1629631,1630596,203497,1631170,1642852,1642847,Andrew Nembhard,Bennedict Mathurin,De'Andre Hunter,Evan Mobley,Rudy Gobert,Jaime Jaquez Jr.,Derik Queen,Jeremiah Fears,355.51,49900
6,dk,2025-11-21,classic,1629614,1629726,1631170,1630567,1642852,1631097,1630596,1642847,Andrew Nembhard,Garrison Mathews,Jaime Jaquez Jr.,Scottie Barnes,Derik Queen,Bennedict Mathurin,Evan Mobley,Jeremiah Fears,355.37,50000
7,dk,2025-11-21,classic,1642847,1631097,1631170,1630596,1642852,1629614,1629631,1630200,Jeremiah Fears,Bennedict Mathurin,Jaime Jaquez Jr.,Evan Mobley,Derik Queen,Andrew Nembhard,De'Andre Hunter,Tre Jones,355.33,49800
8,dk,2025-11-21,classic,1629614,1631097,1631170,1630596,1627751,1630200,1642852,1642847,Andrew Nembhard,Bennedict Mathurin,Jaime Jaquez Jr.,Evan Mobley,Jakob Poeltl,Tre Jones,Derik Queen,Jeremiah Fears,354.91,49500
9,dk,2025-11-21,classic,1630200,1631097,1631212,1630596,1642852,1629614,1631170,1642273,Tre Jones,Bennedict Mathurin,Peyton Watson,Evan Mobley,Derik Queen,Andrew Nembhard,Jaime Jaquez Jr.,Kyshawn George,354.49,50000
10,dk,2025-11-21,classic,1629614,1631097,1631170,1630567,1642852,1642347,1630596,1642847,Andrew Nembhard,Bennedict Mathurin,Jaime Jaquez Jr.,Scottie Barnes,Derik Queen,Jamal Shead,Evan Mobley,Jeremiah Fears,354.39,49900
11,dk,2025-11-21,classic,1629614,1631097,1629628,1630596,203497,1642273,1642852,1642847,Andrew Nembhard,Bennedict Mathurin,RJ Barrett,Evan Mobley,Rudy Gobert,Kyshawn George,Derik Queen,Jeremiah Fears,354.19,50000
12,dk,2025-11-21,classic,1629614,1631097,1641716,1630596,203497,1631170,1642852,1642273,Andrew Nembhard,Bennedict Mathurin,Jarace Walker,Evan Mobley,Rudy Gobert,Jaime Jaquez Jr.,Derik Queen,Kyshawn George,353.84,50000
13,dk,2025-11-21,classic,1629614,1631097,1629631,1630596,1627751,1631170,1642852,1642847,Andrew Nembhard,Bennedict Mathurin,De'Andre Hunter,Evan Mobley,Jakob Poeltl,Jaime Jaquez Jr.,Derik Queen,Jeremiah Fears,353.83,49500
14,dk,2025-11-21,classic,1642847,1642273,1631212,1630596,1642852,1629614,1631170,1631097,Jeremiah Fears,Kyshawn George,Peyton Watson,Evan Mobley,Derik Queen,Andrew Nembhard,Jaime Jaquez Jr.,Bennedict Mathurin,353.81,49000
15,dk,2025-11-21,classic,1630200,1631097,1631170,1641716,1642852,1629614,1630596,1642273,Tre Jones,Bennedict Mathurin,Jaime Jaquez Jr.,Jarace Walker,Derik Queen,Andrew Nembhard,Evan Mobley,Kyshawn George,353.67,49900
16,dk,2025-11-21,classic,1642847,1642273,1631170,1642852,1627751,1629614,1629008,1631097,Jeremiah Fears,Kyshawn George,Jaime Jaquez Jr.,Derik Queen,Jakob Poeltl,Andrew Nembhard,Michael Porter Jr.,Bennedict Mathurin,353.51,49900
17,dk,2025-11-21,classic,1642847,1631097,201142,1630596,1642852,1629614,1631170,1629726,Jeremiah Fears,Bennedict Mathurin,Kevin Durant,Evan Mobley,Derik Queen,Andrew Nembhard,Jaime Jaquez Jr.,Garrison Mathews,353.5,49900
18,dk,2025-11-21,classic,1629614,1631097,1629631,1630596,1642852,1631170,1631212,1642273,Andrew Nembhard,Bennedict Mathurin,De'Andre Hunter,Evan Mobley,Derik Queen,Jaime Jaquez Jr.,Peyton Watson,Kyshawn George,353.41,50000
19,dk,2025-11-21,classic,1642847,1642273,1631212,1630567,1642852,1629614,1631170,1631097,Jeremiah Fears,Kyshawn George,Peyton Watson,Scottie Barnes,Derik Queen,Andrew Nembhard,Jaime Jaquez Jr.,Bennedict Mathurin,353.22,49600
20,dk,2025-11-21,classic,1629614,1631097,1631212,1630596,1627751,1631170,1642852,1642273,Andrew Nembhard,Bennedict Mathurin,Peyton Watson,Evan Mobley,Jakob Poeltl,Jaime Jaquez Jr.,Derik Queen,Kyshawn George,352.98,49700
