game_date,quality_tier,skip_reason,missing_feature_frac,n_games,n_teams,n_players,has_labels,mae_A,rmse_A,top5_sum_A,max_minutes_A,gini_A,hhi_A,top6_share_A,top8_share_A,sixth_man_mae_A,roster_size_A,bench_crush_A,mae_B,rmse_B,top5_sum_B,max_minutes_B,gini_B,hhi_B,top6_share_B,top8_share_B,sixth_man_mae_B,roster_size_B,bench_crush_B,mae_C,rmse_C,top5_sum_C,max_minutes_C,gini_C,hhi_C,top6_share_C,top8_share_C,sixth_man_mae_C,roster_size_C,bench_crush_C,mae_D,rmse_D,top5_sum_D,max_minutes_D,gini_D,hhi_D,top6_share_D,top8_share_D,sixth_man_mae_D,roster_size_D,bench_crush_D,mae_E,rmse_E,top5_sum_E,max_minutes_E,gini_E,hhi_E,top6_share_E,top8_share_E,sixth_man_mae_E,roster_size_E,bench_crush_E,mae_F,rmse_F,top5_sum_F,max_minutes_F,gini_F,hhi_F,top6_share_F,top8_share_F,sixth_man_mae_F,roster_size_F,bench_crush_F,mae_M,rmse_M,top5_sum_M,max_minutes_M,gini_M,hhi_M,top6_share_M,top8_share_M,sixth_man_mae_M,roster_size_M,bench_crush_M,mae_N,rmse_N,top5_sum_N,max_minutes_N,gini_N,hhi_N,top6_share_N,top8_share_N,sixth_man_mae_N,roster_size_N,bench_crush_N,mae_P,rmse_P,top5_sum_P,max_minutes_P,gini_P,hhi_P,top6_share_P,top8_share_P,sixth_man_mae_P,roster_size_P,bench_crush_P,mae_D_best,best_D_alpha,mae_F_best,best_F_p,mae_N_best,best_N_bench_pool,best_N_core_k,A_wins_mae,C_wins_mae,D_wins_mae,E_wins_mae,F_wins_mae,A_wins_top5,C_wins_top5,D_wins_top5,E_wins_top5,F_wins_top5
2025-11-25,clean,,0.0,3,6,103,True,5.625719048386129,8.094446190575699,161.9183792029728,39.76819896316649,0.37842828859244554,0.11456429348535736,0.7590126732623664,0.8910771341709639,6.512991587207882,12.0,8.951575729705633,5.327700678922381,7.496490828811734,173.3246829005677,42.047583079823845,0.30295299032163386,0.12286906052876419,0.7917351974544532,0.8991239388167921,9.0263964462737,10.666666666666666,9.533568135240765,5.980342502592119,8.53184265741709,166.74679931053225,40.96022799807033,0.2703750334949357,0.1206474460765543,0.7815854391407254,0.9177589955548525,6.7269442098199645,10.333333333333334,8.746057415396486,5.592881304597055,7.949873028255397,166.79858527995586,41.2798523819478,0.2978700186236559,0.12101313502429839,0.7825422825487983,0.9139361976212296,5.790790321619883,10.5,8.426769734425152,5.733211483627097,8.046555304761085,167.63258524483186,41.440477126756036,0.2995763740759093,0.12115017087009637,0.7864308642108081,0.9164898560279533,6.5042504997987045,10.666666666666666,7.7587064383775655,5.859135936643378,8.308988245650236,182.48850206242955,45.070559384308915,0.34805613528331775,0.13225536101643334,0.8239189036664091,0.9172900082751391,10.747874443794153,10.666666666666666,7.874436703272276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.464356469804454,0.3,5.327700678922381,1.0,,,,False,False,False,False,False,False,False,False,False,True
2025-11-26,clean,,0.0,9,18,318,True,4.400908739825612,6.797368704829909,153.16335836303367,35.595667713341136,0.33001178299180434,0.10947467557439777,0.7330263746502665,0.8782418104293536,5.150901876701877,12.11111111111111,9.737616579315151,3.8565988725173623,6.040007458629357,169.41181610735376,39.9356336119357,0.28930109284266486,0.11815978248632823,0.7734131630312873,0.8908197337731603,7.441545940730888,10.833333333333334,9.581594755194152,4.235400258741998,6.7987319552049446,156.8174522839674,36.42483849311013,0.24623237841644297,0.11413486660001475,0.7506488656910822,0.8995875382377984,5.15438946355821,10.555555555555555,9.835086013294358,3.8202245274775444,6.012320129362383,158.86313028162323,37.57137486830505,0.2700271396759311,0.11543158570484288,0.7575350161744868,0.8990314893861974,4.139295027768593,10.833333333333334,9.899901975951718,3.8977647919974925,6.164154932234739,159.65009804508244,37.6030092694532,0.2750525941449884,0.11588195593499713,0.7635789326124623,0.9060634294357222,4.418589594064092,10.833333333333334,8.98615589207939,4.344296078104924,6.629786684476735,178.66043533906134,43.329802430842065,0.33386400454462534,0.12688680161464608,0.8059124487249574,0.910000603575158,8.793407948927332,10.833333333333334,7.915370598266571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6678612568298203,0.5,3.8565988725173623,1.0,,,,False,False,True,False,False,False,False,False,False,True
2025-11-27,clean,,0.0,9,18,318,False,,,153.1326680762154,35.11558144115215,0.3313267166433309,0.10874594704543498,0.7330927239796075,0.8780241167347334,,12.055555555555555,9.736438689913207,,,172.1648347978214,39.08207300063685,0.2955356844202665,0.12049983155869626,0.7851288399411727,0.8943181394008101,,10.777777777777779,8.717681441138518,,,157.72410776754958,36.15642751287618,0.23781346180906246,0.11461151243822683,0.7551416867584528,0.9045956560669796,,10.38888888888889,9.43358358497306,,,162.2477798151493,37.553647245909445,0.2788300836997817,0.11702315468313447,0.7690656386500708,0.905412410022184,,10.777777777777779,9.156205473764555,,,162.65906696778902,37.59054598497229,0.28223251658986714,0.11737664088678207,0.7728732089418774,0.9130386930974659,,10.777777777777779,8.060533837786224,,,181.58090950988102,42.18746836572642,0.34069856174949575,0.1296972952465284,0.8181104917169998,0.9134272356853845,,10.777777777777779,7.133303948550218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True
2025-11-28,clean,,0.0,11,22,387,True,4.293950658535476,6.7053478386221,153.4858513067725,36.28052948770164,0.3299379241502172,0.10837110195392086,0.7326231232965246,0.8743579915402576,4.670778767277631,12.136363636363637,10.321758931024478,3.627024368424729,5.6819574786197835,172.71242104270462,40.787264501309956,0.30574100894919604,0.12057987963805297,0.7855091469859647,0.8921570697687385,9.145803449057974,10.909090909090908,9.515434406168442,4.140602936156096,6.69782052877922,158.22708797758926,37.41353584605313,0.24970689658573947,0.1142078032234075,0.7553008273524157,0.9013650806940355,5.086676164088235,10.545454545454545,9.752532314306913,3.614908679488651,5.730081433706098,160.6302851211738,38.68668869079678,0.2789021600977603,0.11498686044450031,0.7601626309616982,0.8973632254036302,4.626789253574743,10.909090909090908,10.034923938403283,3.7476559993849916,5.908160403218897,161.81204647217422,38.75053954814788,0.28471833844703415,0.1155865592666485,0.7673445446442831,0.9036371606847488,4.941108899190542,10.909090909090908,9.037251717748516,4.17427422173936,6.360127689982792,182.38153747583942,44.259892004519685,0.35209509717171245,0.13021225460980063,0.8195266202513207,0.9121761451948849,10.442938279947969,10.909090909090908,7.817889189104366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.403084016757842,0.3,3.627024368424729,1.0,,,,False,False,True,False,False,False,False,False,False,True
2025-11-29,clean,,0.0,8,16,281,True,4.7710482863088055,7.989383676365899,159.0278790662059,38.05641756386449,0.3143446063391205,0.11407833525931083,0.7573433023509669,0.9010531130203582,8.388094575635897,11.375,9.19788108982913,4.799454274972417,7.473603885621438,169.62638635150591,40.34752186662966,0.29418834893500695,0.11840069689808018,0.7754608618847971,0.8872764641710584,8.609936071361325,10.875,10.155747038913832,4.792544877996624,8.109168904564726,162.17996851215233,38.81668723923313,0.24871751256881008,0.11803813330173302,0.7723477738284537,0.9188523386072476,8.475187705403318,10.1875,8.57856717390178,4.354099727383259,7.356218646089722,164.1598789449676,39.378212106187114,0.2963766488594962,0.11810867379970807,0.7724362824167756,0.9101769863820885,7.447009955397073,10.625,8.887048460520825,4.481242440428159,7.496173694231778,164.82367566218844,39.51667667854646,0.2988717026791149,0.1183445630511572,0.7776739915506865,0.9140387417084532,7.8340369558947245,10.875,7.848281575781895,5.381020160706717,8.165794758822921,179.1084047935169,43.926462367117445,0.3409823296864377,0.12770983543663028,0.8091921138773439,0.9073179655822382,9.975216964038758,10.875,8.450796854802359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.261638179404441,0.5,4.799454274972418,1.0,,,,True,True,True,True,False,False,False,False,False,True
2025-11-30,clean,,0.0,8,16,280,True,7.754790740995241,10.442042348658347,122.41083636846642,27.473230864063048,0.29300009468839217,0.08153784251854021,0.5913409909903574,0.7340437396211738,6.251429502738983,15.6875,13.529102975979969,6.997866916609762,9.904957308434325,167.26099072138396,37.958649991531296,0.2938626572342656,0.11712941012689054,0.7808040659899964,0.9031447645415744,9.952999524137818,11.0,8.16271271971736,7.1547565126988655,11.014823818535302,142.712013194193,32.03534102253399,0.16121068686234802,0.10371432457722948,0.6897534536955215,0.8566050684812538,6.108948840663247,10.5625,14.4556085059235,6.7929499644685585,10.271187474531391,145.81843362083183,32.92660917798944,0.20290975693240887,0.10375780121886152,0.6974990993266583,0.8535883014585692,6.4574643029,11.0,13.868581565889068,7.0473209425834495,10.501687072938246,145.75570603072993,32.86827911724289,0.20250986336512722,0.10331681950158467,0.6999180877024824,0.8557989658502478,6.113638610479688,11.0,12.837972089731354,7.282063552412447,10.112147497798288,175.9099589253426,40.899237769544555,0.3351773995822436,0.12494554542925611,0.8129337445385687,0.922345516600044,11.096013189406062,11.0,6.607199199017226,,,,,,,,,,,,,,,,,,,,,,,5.491198135299619,8.396520651952596,155.22310223453746,33.91080828281232,0.1647238859268401,0.13531102512913296,0.7491862425162008,0.9287663337993822,4.152695812357673,13.0,18.235594438658964,6.605784944396165,0.3,6.9978669166097625,1.0,,,,False,False,True,False,False,False,False,False,False,True
2025-12-01,clean,,0.0,8,16,280,False,,,122.07978424878863,27.389712457702117,0.2949246437212357,0.08112757156791514,0.5896058203445063,0.7322225254984349,,15.8125,13.261851873701678,,,167.65030807648117,37.98235037152912,0.2954578231752311,0.11791310744451901,0.7833412844619093,0.9052291799688417,,10.9375,8.46561241173306,,,138.8406415345437,31.17822661265864,0.16371905175339677,0.09997931391928502,0.6707470389845716,0.833581842258079,,10.9375,15.16773933274202,,,144.83698327540324,32.731752055094695,0.18808284935108005,0.10247897324861112,0.6918708561404602,0.8430543034889426,,10.9375,13.989549857883443,,,146.91555356471775,33.13061706837117,0.20358838932169382,0.1041220267525804,0.7042507505186215,0.8598568430661129,,10.9375,12.52459410084601,,,176.20950454196634,40.87338882668517,0.33686337560649926,0.12576296682317467,0.8150479773283364,0.9241789653405414,,10.9375,6.904848596853598,,,,,,,,,,,,,,,,,,,,,,,,,153.85167831069293,33.603470969336875,0.24251144851494438,0.14779757152820677,0.7506685736908909,0.9480699987440134,,17.5,19.46920035800666,,,,,,,,,,,,,False,False,False,False,True
2025-12-02,clean,,0.0,8,16,280,False,,,122.19591223704779,27.36863494658106,0.2955199210316559,0.08119637742030543,0.5905998028034085,0.7326303885193584,,15.8125,13.163675460961684,,,168.06699478233287,38.04556934556443,0.2974434381201573,0.1184160542860874,0.7842827956244222,0.9061691926105022,,10.9375,8.305099642242656,,,139.55510372950275,31.296285538385995,0.1682743597601548,0.10043483366402368,0.6746519349193134,0.8374947894076188,,10.9375,14.780853518125868,,,145.66939292638102,32.839393407183394,0.19289842964070786,0.10306599240151977,0.6960116843159946,0.8465830043156671,,10.9375,13.612837207841324,,,147.847245941732,33.28961441445044,0.2081835600244893,0.10477080444921039,0.7091377298924193,0.8614598079496378,,10.9375,12.409381934694792,,,176.6554411571284,40.929492287103955,0.33895079644842296,0.12641331695699137,0.8159919507706687,0.9251548357284597,,10.9375,6.731598445862749,,,,,,,,,,,,,,,,,,,,,,,,,155.1483995113742,33.73348354844493,0.24758609185921085,0.14832790212043906,0.7565372628464841,0.9513311619954359,,17.5,19.093435142646587,,,,,,,,,,,,,False,False,False,False,True
2025-12-03,clean,,0.0,9,18,317,True,3.751648374268048,5.957846983083225,161.14306624167511,38.10892709202627,0.33463511980189947,0.11560291326332248,0.7650268240893516,0.9013797868635298,5.780522184964668,11.38888888888889,8.544370106596627,4.363733051701012,6.763307953553149,165.45995236459123,38.47241612187887,0.2563665307566338,0.11464270716703928,0.7533228554484027,0.8762089486677193,8.612242961120423,10.666666666666666,12.065588427464823,3.885831281763645,6.17462435835394,164.58266181798925,38.92103033424028,0.2616405704576955,0.12002396072035028,0.7814520944560324,0.9209622320943303,5.864924774976756,10.277777777777779,8.433236718741755,3.738401539102486,5.871061797444436,167.11561636273345,39.976799034079484,0.2982105042009206,0.12137158976241832,0.7892277032706453,0.9214834426698837,6.090865856481291,10.5,8.395302083321575,3.765376367193646,5.923485690742293,167.38825875968348,39.99622373664145,0.3009232672057904,0.12174514053914216,0.7933788299874271,0.9253811918941113,5.872633172310319,10.61111111111111,7.6105586655446285,4.837012421197334,7.308186254293179,174.3836755072923,41.62240750548035,0.2994972745962927,0.12234702301017114,0.7842998774684041,0.8943633386715734,9.963687875858827,10.666666666666666,10.420468091749214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.738401539102486,0.7,4.363733051701012,1.0,,,,True,True,True,True,False,False,False,True,True,True
2025-12-04,clean,,0.0,1,2,35,True,3.496144956291017,5.682885890291636,164.61469303014448,39.656792937676734,0.3335373936248197,0.12027105078866598,0.7961687478191046,0.9275309645192547,9.089213615889488,10.0,8.678359071655393,3.6223843307726735,6.0511251812317095,165.46333501432477,38.0612961756661,0.26480015701909054,0.11267844683575912,0.7519305625596866,0.8630225106839233,8.224885043017695,11.0,11.600940842610541,3.4707457424038646,5.684532369246512,164.91231194548305,39.72574927022059,0.24880820580232552,0.1206950033835757,0.7976051165718644,0.9291773877057987,9.145851213737828,10.0,8.696000871663422,3.250242101267798,5.09889613965083,167.65822680354816,40.379652719059806,0.31821085765889745,0.12069065994632902,0.8017701970735545,0.9219890381191893,7.474000491307111,11.0,7.995933534753558,3.3000967980780143,5.236663553864602,169.1826795963326,40.7997548801731,0.3308832952909569,0.12332428315245775,0.8121944049439366,0.9361853539535818,8.542120864265758,11.0,6.469316825780714,3.8512590287211945,6.519473368102812,175.02153561695292,41.37072878153756,0.30956603117087306,0.12080447864489677,0.7856227513238871,0.8837001978733692,9.810452433081077,11.0,9.948628224705917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1908244881569576,0.5,3.6223843307726744,1.0,,,,True,True,True,True,False,False,False,True,True,True
